en,ru,level,source,source_url
dvd,DVD-диск,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
cd,компакт-диск,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
computer,компьютер,A1,WikDict,https://en.wiktionary.org/wiki/computer
telephone,телефон,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
internet,интернет,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
website,сайт,A1,WikDict,https://en.wiktionary.org/wiki/website
blog,блог,A1,WikDict,https://en.wiktionary.org/wiki/blog
magazine,журнал,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
newspaper,газета,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
dictionary,словарь,A1,WikDict,https://en.wiktionary.org/wiki/dictionary
menu,меню,A1,WikDict,https://en.wiktionary.org/wiki/menu
coat,пальто,A1,WikDict,https://en.wiktionary.org/wiki/coat
shoe,туфля,A1,WikDict,https://en.wiktionary.org/wiki/shoe
shirt,рубашка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
skirt,юбка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
pants,брюки,A1,WikDict,https://en.wiktionary.org/wiki/pants
jacket,куртка,A1,WikDict,https://en.wiktionary.org/wiki/jacket
sweater,свитер,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
jeans,джинсы,A1,WikDict,https://en.wiktionary.org/wiki/jeans
t-shirt,футболка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
clothes,одежда,A1,WikDict,https://en.wiktionary.org/wiki/clothes
hat,шляпа,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
boot,ботинок,A1,WikDict,https://en.wiktionary.org/wiki/boot
umbrella,зонт,A1,WikDict,https://en.wiktionary.org/wiki/umbrella
car,автомобиль,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
bus,автобус,A1,WikDict,https://en.wiktionary.org/wiki/bus
train,поезд,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
plane,самолёт,A1,WikDict,https://en.wiktionary.org/wiki/plane
taxi,такси,A1,WikDict,https://en.wiktionary.org/wiki/taxi
boat,лодка,A1,WikDict,https://en.wiktionary.org/wiki/boat
bike,велосипед,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
bicycle,велосипед,A1,WikDict,https://en.wiktionary.org/wiki/bicycle
truck,грузовик,A1,WikDict,https://en.wiktionary.org/wiki/truck
ball,мяч,A1,WikDict,https://en.wiktionary.org/wiki/ball
pool,бассейн,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
school,школа,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
hospital,больница,A1,WikDict,https://en.wiktionary.org/wiki/hospital
hotel,гостиница,A1,WikDict,https://en.wiktionary.org/wiki/hotel
restaurant,ресторан,A1,WikDict,https://en.wiktionary.org/wiki/restaurant
cafe,кафе,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
market,рынок,A1,WikDict,https://en.wiktionary.org/wiki/market
supermarket,супермаркет,A1,WikDict,https://en.wiktionary.org/wiki/supermarket
library,библиотека,A1,WikDict,https://en.wiktionary.org/wiki/library
museum,музей,A1,WikDict,https://en.wiktionary.org/wiki/museum
bank,банк,A1,WikDict,https://en.wiktionary.org/wiki/bank
office,офис,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
shop,магазин,A1,WikDict,https://en.wiktionary.org/wiki/shop
store,магазин,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
club,клуб,A1,WikDict,https://en.wiktionary.org/wiki/club
mall,торговый центр,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
theater,театр,A1,WikDict,https://en.wiktionary.org/wiki/theater
college,колледж,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
university,университет,A1,WikDict,https://en.wiktionary.org/wiki/university
station,станция,A1,WikDict,https://en.wiktionary.org/wiki/station
airport,аэропорт,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
building,здание,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
apartment,квартира,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
classroom,учебный класс,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
gym,тренажёрный зал,A1,WikDict,https://en.wiktionary.org/wiki/gym
bar,бар,A1,WikDict,https://en.wiktionary.org/wiki/bar
capital,столица,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
neighborhood,микрорайон,A1,WikDict,https://en.wiktionary.org/wiki/neighborhood
area,область,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
