en,ru,level,source
lesson,урок,A2,User-provided list: a2-user.md
letter,"письмо, буква",A2,User-provided list: a2-user.md
library,библиотека,A2,User-provided list: a2-user.md
life,жизнь,A2,User-provided list: a2-user.md
light,"свет, лёгкий",A2,User-provided list: a2-user.md
like,"нравиться, похожий",A2,User-provided list: a2-user.md
line,"линия, очередь",A2,User-provided list: a2-user.md
lion,лев,A2,User-provided list: a2-user.md
listen,слушать,A2,User-provided list: a2-user.md
little,"маленький, немного",A2,User-provided list: a2-user.md
live,жить,A2,User-provided list: a2-user.md
local,местный,A2,User-provided list: a2-user.md
long,"длинный, долго",A2,User-provided list: a2-user.md
look,"смотреть, выглядеть",A2,User-provided list: a2-user.md
lose,терять,A2,User-provided list: a2-user.md
love,"любить, любовь",A2,User-provided list: a2-user.md
lucky,удачливый,A2,User-provided list: a2-user.md
lunch,обед,A2,User-provided list: a2-user.md
machine,машина,A2,User-provided list: a2-user.md
magazine,журнал,A2,User-provided list: a2-user.md
main,главный,A2,User-provided list: a2-user.md
make,делать,A2,User-provided list: a2-user.md
man,мужчина,A2,User-provided list: a2-user.md
many,много,A2,User-provided list: a2-user.md
map,карта,A2,User-provided list: a2-user.md
market,рынок,A2,User-provided list: a2-user.md
married,"женатый, замужняя",A2,User-provided list: a2-user.md
matter,иметь значение,A2,User-provided list: a2-user.md
maybe,возможно,A2,User-provided list: a2-user.md
meal,приём пищи,A2,User-provided list: a2-user.md
mean,значить,A2,User-provided list: a2-user.md
meet,встречать,A2,User-provided list: a2-user.md
member,участник,A2,User-provided list: a2-user.md
message,сообщение,A2,User-provided list: a2-user.md
middle,середина,A2,User-provided list: a2-user.md
midnight,полночь,A2,User-provided list: a2-user.md
might,может быть,A2,User-provided list: a2-user.md
mile,миля,A2,User-provided list: a2-user.md
milk,молоко,A2,User-provided list: a2-user.md
mind,"разум, возражать",A2,User-provided list: a2-user.md
minute,минута,A2,User-provided list: a2-user.md
mistake,ошибка,A2,User-provided list: a2-user.md
modern,современный,A2,User-provided list: a2-user.md
moment,момент,A2,User-provided list: a2-user.md
monday,понедельник,A2,User-provided list: a2-user.md
money,деньги,A2,User-provided list: a2-user.md
month,месяц,A2,User-provided list: a2-user.md
moon,луна,A2,User-provided list: a2-user.md
morning,утро,A2,User-provided list: a2-user.md
mother,мать,A2,User-provided list: a2-user.md
mountain,гора,A2,User-provided list: a2-user.md
move,"двигаться, переезжать",A2,User-provided list: a2-user.md
movie,фильм,A2,User-provided list: a2-user.md
much,много,A2,User-provided list: a2-user.md
museum,музей,A2,User-provided list: a2-user.md
music,музыка,A2,User-provided list: a2-user.md
must,должен,A2,User-provided list: a2-user.md
name,"имя, называть",A2,User-provided list: a2-user.md
near,"близко, около",A2,User-provided list: a2-user.md
necessary,необходимый,A2,User-provided list: a2-user.md
need,"нуждаться, необходимость",A2,User-provided list: a2-user.md
neighbour,сосед,A2,User-provided list: a2-user.md
never,никогда,A2,User-provided list: a2-user.md
new,новый,A2,User-provided list: a2-user.md
news,новости,A2,User-provided list: a2-user.md
next,следующий,A2,User-provided list: a2-user.md
nice,приятный,A2,User-provided list: a2-user.md
night,ночь,A2,User-provided list: a2-user.md
north,север,A2,User-provided list: a2-user.md
note,заметка,A2,User-provided list: a2-user.md
nothing,ничего,A2,User-provided list: a2-user.md
now,сейчас,A2,User-provided list: a2-user.md
number,"число, номер",A2,User-provided list: a2-user.md
offer,"предлагать, предложение",A2,User-provided list: a2-user.md
office,офис,A2,User-provided list: a2-user.md
often,часто,A2,User-provided list: a2-user.md
old,старый,A2,User-provided list: a2-user.md
once,однажды,A2,User-provided list: a2-user.md
only,только,A2,User-provided list: a2-user.md
open,"открытый, открывать",A2,User-provided list: a2-user.md
opposite,"противоположный, напротив",A2,User-provided list: a2-user.md
order,"порядок, заказывать",A2,User-provided list: a2-user.md
outside,снаружи,A2,User-provided list: a2-user.md
page,страница,A2,User-provided list: a2-user.md
